plant,species,time,number,time,neigh,trt
Bindweed,Calliopsis.andreniformis,LATE.CE.t8,1,LATE,CE,t8
White.Clover,Calliopsis.andreniformis,EARLY.FA.t4,2,EARLY,FA,t4
White.Clover,Ceratina.calcarata,EARLY.BU.t1,1,EARLY,BU,t1
Chicory,Ceratina.calcarata,LATE.BU.t1,2,LATE,BU,t1
Canadian.Thistle,Ceratina.calcarata,EARLY.BU.t4,1,EARLY,BU,t4
Bull.Thistle,Ceratina.calcarata,LATE.BU.t6,1,LATE,BU,t6
Chicory,Ceratina.calcarata,LATE.BU.t6,3,LATE,BU,t6
Black.eyed.Susan,Ceratina.calcarata,EARLY.BU.t8,2,EARLY,BU,t8
Chicory,Ceratina.calcarata,EARLY.BU.t8,3,EARLY,BU,t8
Crown.Vetch,Ceratina.calcarata,EARLY.BU.t8,1,EARLY,BU,t8
Fleabane,Ceratina.calcarata,EARLY.BU.t8,3,EARLY,BU,t8
Queen.Annes.Lace,Ceratina.calcarata,EARLY.BU.t8,1,EARLY,BU,t8
White.Sweet.Clover,Ceratina.calcarata,EARLY.BU.t8,1,EARLY,BU,t8
Chicory,Ceratina.calcarata,LATE.BU.t8,13,LATE,BU,t8
Field.Bindweed,Ceratina.calcarata,EARLY.CE.t8,1,EARLY,CE,t8
White.Clover,Ceratina.calcarata,EARLY.CE.t8,1,EARLY,CE,t8
Bindweed,Ceratina.calcarata,LATE.CE.t8,2,LATE,CE,t8
Thistle,Ceratina.calcarata,EARLY.DS.t4,7,EARLY,DS,t4
White.Clover,Ceratina.calcarata,EARLY.DS.t4,1,EARLY,DS,t4
Canadian.Thistle,Ceratina.calcarata,LATE.DS.t4,1,LATE,DS,t4
Real.Daisy,Ceratina.calcarata,EARLY.DS.t6,1,EARLY,DS,t6
White.Clover,Ceratina.calcarata,EARLY.DS.t8,1,EARLY,DS,t8
Chicory,Ceratina.calcarata,EARLY.FA.t4,1,EARLY,FA,t4
Unknown.Aster,Ceratina.calcarata,LATE.FA.t6,1,LATE,FA,t6
Chicory,Ceratina.calcarata,LATE.FA.t8,1,LATE,FA,t8
White.Clover,Ceratina.calcarata,EARLY.GL.t6,1,EARLY,GL,t6
Yellow.Sweet.Clover,Ceratina.calcarata,EARLY.GL.t6,3,EARLY,GL,t6
Fleabane,Ceratina.calcarata,EARLY.GL.t8,2,EARLY,GL,t8
Lanceleaf.Coreopsis,Ceratina.calcarata,EARLY.GL.t8,1,EARLY,GL,t8
Chicory,Ceratina.calcarata,EARLY.HO.t4,2,EARLY,HO,t4
Chicory,Ceratina.calcarata,LATE.HO.t4,1,LATE,HO,t4
Black.eyed.Susan,Ceratina.calcarata,EARLY.HO.t6,1,EARLY,HO,t6
Chicory,Ceratina.calcarata,EARLY.HO.t6,1,EARLY,HO,t6
Hairy.Cats.Ear,Ceratina.calcarata,EARLY.HO.t6,2,EARLY,HO,t6
Chicory,Ceratina.calcarata,LATE.HO.t6,4,LATE,HO,t6
Fleabane,Ceratina.calcarata,EARLY.HO.t8,1,EARLY,HO,t8
Blue.Vervain,Ceratina.calcarata,LATE.HO.t8,2,LATE,HO,t8
Chicory,Ceratina.calcarata,LATE.HO.t8,7,LATE,HO,t8
Lanceleaf.Coreopsis,Ceratina.calcarata,LATE.HO.t8,2,LATE,HO,t8
Chicory,Ceratina.calcarata,EARLY.SV.t2,3,EARLY,SV,t2
Ground.Ivy,Ceratina.calcarata,EARLY.SV.t2,2,EARLY,SV,t2
Alsike.Clover,Ceratina.calcarata,EARLY.SV.t6,2,EARLY,SV,t6
Chicory,Ceratina.calcarata,EARLY.SV.t6,1,EARLY,SV,t6
Fleabane,Ceratina.calcarata,EARLY.SV.t6,1,EARLY,SV,t6
White.Clover,Ceratina.calcarata,EARLY.SV.t6,2,EARLY,SV,t6
Black.eyed.Susan,Ceratina.calcarata,EARLY.SV.t8,1,EARLY,SV,t8
Other.Bindweed,Ceratina.calcarata,EARLY.TR.t1,1,EARLY,TR,t1
Grey.Headed.Coneflower,Coelioxys.alternata,EARLY.HO.t6,1,EARLY,HO,t6
Narrow.leaf.plantain,Halictus.confusus,LATE.DS.t8,1,LATE,DS,t8
Red.Clover,Halictus.confusus,EARLY.TR.t1,1,EARLY,TR,t1
Lanceleaf.Coreopsis,Halictus.ligatus,EARLY.CE.t8,1,EARLY,CE,t8
Brown.Eyed.Susan,Halictus.ligatus,LATE.CE.t8,2,LATE,CE,t8
Yarrow,Halictus.ligatus,LATE.DS.t4,1,LATE,DS,t4
Real.Daisy,Halictus.ligatus,EARLY.DS.t6,1,EARLY,DS,t6
Yarrow,Halictus.ligatus,EARLY.DS.t6,1,EARLY,DS,t6
Chicory,Halictus.ligatus,LATE.FA.t6,1,LATE,FA,t6
Chicory,Halictus.ligatus,LATE.HO.t4,1,LATE,HO,t4
Grey.Headed.Coneflower,Halictus.ligatus,LATE.HO.t6,1,LATE,HO,t6
Grey.Headed.Coneflower,Halictus.ligatus,LATE.HO.t8,3,LATE,HO,t8
Lanceleaf.Coreopsis,Halictus.ligatus,LATE.HO.t8,1,LATE,HO,t8
Chicory,Halictus.ligatus,EARLY.SV.t8,1,EARLY,SV,t8
Lanceleaf.Coreopsis,Halictus.ligatus,EARLY.SV.t8,1,EARLY,SV,t8
Unknown.Aster,Halictus.ligatus,LATE.SV.t8,2,LATE,SV,t8
Chicory,Halictus.rubicundus,EARLY.HO.t2,1,EARLY,HO,t2
Chicory,Halictus.spp.,EARLY.BU.t1,1,EARLY,BU,t1
Unknown.Aster,Halictus.spp.,LATE.DS.t8,1,LATE,DS,t8
Black.eyed.Susan,Halictus.spp.,EARLY.GL.t6,1,EARLY,GL,t6
Grey.Headed.Coneflower,Halictus.spp.,EARLY.TR.t8,1,EARLY,TR,t8
