"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"DS4",0.636987395665469,-2.69543527985271,3.99275617680977,-2.10198874107738,-7.23791071698919,7.23791071698921,-4.06744244409374,1.91514948419572,2.37914629348422,0.56908114535125,3.58217132240667,2.15082555886087,0.0672649576861949,1.58378148484466,-2.90531179502781,-58.737767477507,-74.9402440705222,39.7709166973403,2.79239867511475,0.061055756585789,2.69290134989601
"FA4",-1.65354007879423,-2.38660734854983,4.14571697180981,-2.7800915741462,-3.19641732425922,3.19641732425922,-2.16496236163981,1.23142280124331,2.1151107113069,0.778841541359867,-0.640296150432743,2.84593705136195,-1.38135616328336,2.48468114238411,-2.54547396498884,-56.2187088343417,-72.9367396918827,52.7504350674233,3.07850769577162,-0.026134878626241,3.47798098386234
"GL4",-1.39927340156939,-1.05591380457475,3.81865151337903,-3.56694204381053,-5.3672350877439,5.36723508774389,-2.2582071814066,1.01556113778887,2.63777339041319,0.240833569989908,0.356877112833999,3.0099483665255,-1.64746559232628,0.753438431369323,-1.30667936301606,-42.5860183809244,-61.8432452808217,37.4737250085273,5.07208904771119,1.51165638328417,2.67766262131792
"HO4",-0.359820014736531,-2.03597589800663,3.94634115909793,-2.79398847090619,-3.93646807220767,3.93646807220766,-3.13113858010766,0.371432325278779,3.92323359150916,2.09544729715506,0.795546221897762,2.35727397414806,-1.95419260796141,3.46647912906523,-2.22321844780617,-54.3351287875551,-68.7733484871173,39.8519625626649,3.81480968084712,3.50209787412562,1.63245850919128
"SV4",-0.904129491176894,-2.36896291715107,4.16752047600302,-2.63279034880889,-5.49855187869238,5.49855187869237,-2.71256992270063,1.42591269663325,2.42025900789523,0.464653128877208,0.576140926156884,1.18823731950535,-0.857884889042068,3.2159720016173,-2.54303136173019,-51.9212476547066,-67.0734105756263,37.672179532388,3.28062185962502,-2.34464792224764,5.40361285414903
"TR4",-0.914183798080063,-2.36377790910518,3.91022766931211,-2.19206142868239,-6.27256286552609,6.27256286552609,-3.44319382930694,1.77033847268701,2.82643411749076,0.790696238177609,0.939344655098914,0.773541401041469,-1.04275117195731,2.27839740311642,-2.49904109181763,-52.999933896681,-67.4354451594835,42.0742827363277,1.40006654441837,-0.654240852302749,2.01307395491772
"BU6",-0.964188269207007,-2.7053864594812,4.31912690307323,-2.5201682349811,-7.563525561159,7.563525561159,-4.47743701692811,2.69647293996032,1.6161567505637,0.586317937617831,3.77377400507556,1.28844747146573,0.354604426096381,1.81207284053421,-2.84314463971272,-51.4865174056458,-65.9579019399102,37.8531162655281,2.06874349754674,-0.631258586964553,2.74349022395359
"CE6",-1.33126800354892,-2.73308930109958,4.70330718954575,-2.94314384884216,-7.52937060412839,7.52937060412838,-2.90361409100941,2.6066708895918,2.72609071504938,-0.798875442009933,-0.731626194152845,2.21927272777021,-0.966701809611463,3.06037383483341,-2.8954774701393,-58.6279765632489,-74.6241282672677,41.8391574542201,3.98516886529866,0.651743890902377,4.02228116409826
"DS6",-0.137839836134932,-2.26282977030634,3.51033066537032,-1.96718214181823,-2.42019233727769,2.42019233727769,-1.97282895321105,-0.317261005478296,3.26510252934556,0.888279927192431,1.13365591569052,0.905155516945355,-1.51324102322664,2.78122507363961,-2.39735411677009,-46.335328662908,-60.4277653210038,40.3824186257858,1.31164697860996,0.100633480275193,1.35229113731467
"FA6",-0.572616235772315,-2.5980633747705,4.89244840256112,-3.30440469744302,-7.20279784599727,7.20279784599727,-4.56943479249789,3.27727163979399,2.96228837972978,0.388122744837351,0.56833008191576,1.84558613313098,-1.19112467359793,2.36665690673938,-2.31721180608566,-53.7781647796039,-71.8695626065393,41.3513607063984,3.6863685776061,0.154289875996761,2.98283336293375
